# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
3.3136,231.18,148.11,49.914,148.43,50.064,10.451,2.5098,10.748,13.504,9.7981,3.8756,45,1.3309e-4,9.8055,0.16293,285.22,-1.479,-0.38374,10997,1311.9,5.3126,0.03605,1982.8,1586.5,2.8306,0.43766,26691976,776.9,118.84,0.58354,0.58358,0.3573,0.081332,0.1449,0.043935,0.12472,-5.2881e-5,0,0.0017192,0.42982,0.4281,-1.4364e-4,140,153.94,85.59,8.9703,NaN,13.497,986.14,339.48,0.025674,0.16633
3.3392,235,149.39,49.82,149.72,49.963,10.698,2.5616,11.001,13.465,9.8951,3.7747,45,1.3624e-4,9.8055,0.17765,287.21,-0.43892,-0.22141,10986,1300.9,5.3087,0.036042,2023,1586,3.1214,0.44146,26914296,777.28,120.98,0.58416,0.58422,0.35718,0.081643,0.14534,0.046324,0.14492,-3.1031e-4,0,0.0016755,0.42996,0.42828,-1.2434e-5,140,153.94,85.616,8.9328,NaN,13.473,985.69,339.46,0.025899,0.1673
3.3651,238.88,150.68,49.716,151.01,49.858,10.95,2.6139,11.258,13.426,9.992,3.7708,45,1.3945e-4,9.8055,0.17411,289.2,0.71817,-0.25828,10975,1289.9,5.3047,0.036034,2059.3,1585.6,3.3839,0.44529,27138318,777.67,123.17,0.5848,0.58485,0.35706,0.08196,0.14578,0.044081,0.14901,4.6527e-4,0,0.0016352,0.4301,0.42847,3.2722e-5,140,153.94,85.615,9.0215,NaN,13.447,985.23,339.45,0.026089,0.16774
3.3912,242.83,151.97,49.6,152.31,49.752,11.207,2.6669,11.52,13.386,10.091,3.8759,45,1.4272e-4,9.8055,0.14941,291.19,1.8156,-0.57598,10964,1278.8,5.3007,0.036026,2078,1585.1,3.5202,0.44915,27363596,778.05,125.39,0.58544,0.58548,0.35693,0.082284,0.14623,0.037264,0.13073,3.3832e-4,0,0.0015933,0.43025,0.42865,2.0557e-4,140,153.94,85.586,9.2694,NaN,13.422,984.77,339.43,0.026324,0.16816
3.4175,246.85,153.28,49.472,153.62,49.643,11.469,2.7207,11.787,13.346,10.196,4.1205,45,1.4605e-4,9.8054,0.099804,293.18,2.407,-1.3757,10953,1267.7,5.2967,0.036018,2038.2,1584.7,3.2394,0.45303,2.759e7,778.44,127.64,0.5861,0.58612,0.35681,0.082614,0.14668,0.025697,0.08283,2.757e-4,0,0.0015502,0.43039,0.42884,3.552e-4,140,153.94,85.531,9.6654,NaN,13.395,984.3,339.42,0.026601,0.16866
3.4441,250.94,154.59,49.334,154.93,49.535,11.736,2.7756,12.059,13.306,10.31,4.4546,45,1.4945e-4,9.8054,0.056651,295.16,0.7637,-3.0166,10942,1256.4,5.2926,0.036011,1833.6,1584.2,1.7815,0.45694,27818012,778.84,129.94,0.58677,0.58678,0.35668,0.082951,0.14714,0.017532,0.031488,6.9202e-4,0,0.0015083,0.43054,0.42903,3.515e-5,140,153.94,85.462,10.159,NaN,13.369,983.82,339.4,0.026883,0.16906
3.471,255.12,155.92,49.187,156.26,49.426,12.009,2.8318,12.338,13.268,10.435,4.8576,45,1.5293e-4,9.8054,0.082481,297.15,-1.9485,-2.277,10930,1244.9,5.2885,0.036002,1926.8,1583.7,2.4502,0.46089,28047882,779.24,132.28,0.58745,0.58747,0.35654,0.083295,0.14761,0.023391,0.057326,7.4193e-4,0,0.0014684,0.4307,0.42923,-2.2494e-4,140,153.94,85.39,10.691,NaN,13.342,983.33,339.38,0.027148,0.16947
3.4982,259.37,157.25,49.045,157.6,49.314,12.288,2.8895,12.623,13.233,10.57,5.1448,45,1.5649e-4,9.8054,0.12722,299.14,-1.9413,-1.4347,10919,1233.4,5.2843,0.035994,2031.1,1583.3,3.1988,0.46487,28279282,779.64,134.67,0.58815,0.58818,0.35641,0.083647,0.14809,0.032998,0.10573,-2.9781e-4,0,0.0014284,0.43085,0.42942,-2.1948e-4,140,153.94,85.326,11.155,NaN,13.314,982.83,339.37,0.027441,0.16985
3.5256,263.7,158.59,48.905,158.95,49.197,12.574,2.9491,12.915,13.2,10.713,5.3538,45,1.6013e-4,9.8054,0.1552,301.12,-1.0909,-0.98875,10907,1221.8,5.2801,0.035986,2074,1582.8,3.5087,0.46888,28512011,780.05,137.1,0.58886,0.5889,0.35627,0.084006,0.14858,0.038907,0.13661,8.841e-5,0,0.0013875,0.43101,0.42962,-6.8135e-5,140,153.94,85.276,11.415,NaN,13.286,982.32,339.35,0.027777,0.17024
3.5534,268.13,159.95,48.773,160.32,49.073,12.867,3.0107,13.215,13.169,10.862,5.4212,45,1.6386e-4,9.8054,0.1522,303.1,0.070457,-0.86728,10895,1210,5.2758,0.035978,2074.1,1582.3,3.5131,0.47293,28746721,780.46,139.58,0.58958,0.58963,0.35613,0.084373,0.14908,0.038166,0.13402,-4.08e-4,0,0.0013483,0.43117,0.42982,2.794e-7,140,153.94,85.247,11.377,NaN,13.257,981.8,339.33,0.028105,0.17062
3.5815,272.64,161.32,48.65,161.69,48.941,13.168,3.0743,13.522,13.142,11.013,5.3262,45,1.6769e-4,9.8054,0.11535,305.09,1.0746,-1.0044,10883,1198.1,5.2715,0.03597,2045.2,1581.8,3.31,0.47702,28983538,780.88,142.1,0.59032,0.59035,0.35599,0.084749,0.14958,0.029604,0.098323,-3.7841e-4,0,0.0013105,0.43133,0.43002,6.3892e-5,140,153.94,85.238,11.019,NaN,13.228,981.27,339.31,0.028431,0.17099
3.6099,277.25,162.7,48.528,163.08,48.804,13.476,3.1399,13.837,13.116,11.162,5.186,45,1.7162e-4,9.8053,0.061573,307.07,1.2791,-1.5652,10871,1186,5.2671,0.035961,1940.2,1581.3,2.5636,0.48114,29222026,781.31,144.67,0.59108,0.59108,0.35585,0.085133,0.15009,0.01728,0.044626,-1.4106e-4,0,0.001272,0.4315,0.43023,8.8986e-5,140,153.94,85.241,10.407,NaN,13.198,980.73,339.3,0.0288,0.17135
3.6387,281.95,164.1,48.244,164.48,48.507,13.793,3.2073,14.161,13.091,11.31,5.0495,45,1.7565e-4,9.8053,0.041027,309.05,-1.1838,-1.7068,10859,1173.8,5.2627,0.035952,1887.2,1580.8,2.1883,0.48531,29462373,779.98,147.29,0.59185,0.59185,0.3557,0.085526,0.15062,0.012089,0.02673,3.0588e-4,0,0.0012345,0.43167,0.43044,-7.4928e-5,140,153.94,85.246,9.6835,NaN,13.167,980.18,339.28,0.029179,0.17172
3.6679,286.76,165.5,47.592,165.9,47.855,14.118,3.2761,14.493,13.065,11.455,5.0103,45,1.7979e-4,9.8053,0.086876,311.01,-1.4297,-0.73273,10847,1161.6,5.2583,0.035944,2047.3,1580.3,3.3358,0.48949,29703234,774.82,149.95,0.59263,0.59264,0.35555,0.085926,0.15115,0.022277,0.074648,2.1241e-4,0,0.0011918,0.43185,0.43066,-1.0744e-4,140,153.94,85.248,9.0175,NaN,13.136,979.62,339.26,0.029719,0.17211
3.6976,291.7,166.91,46.906,167.32,47.177,14.453,3.3465,14.835,13.037,11.603,5.0418,45,1.8406e-4,9.8053,0.12083,312.97,-0.46912,-0.54575,10835,1149.5,5.2538,0.035935,2073.5,1579.8,3.5262,0.49368,29944243,769.42,152.65,0.59342,0.59345,0.3554,0.086333,0.15168,0.030366,0.10695,-3.3274e-4,0,0.0011489,0.43202,0.43087,-1.1373e-5,140,153.94,85.254,8.6018,NaN,13.104,979.04,339.24,0.03032,0.17249
3.7279,296.78,168.33,46.221,168.74,46.476,14.8,3.4184,15.189,13.006,11.752,4.8619,45,1.8847e-4,9.8053,0.1111,314.92,0.63804,-0.58408,10822,1137.2,5.2494,0.035927,2070.2,1579.3,3.5067,0.49791,30186941,763.91,155.39,0.59423,0.59425,0.35525,0.086749,0.15223,0.028,0.098085,-9.7148e-5,0,0.001108,0.4322,0.43109,2.0685e-5,140,153.94,85.27,8.5676,NaN,13.071,978.44,339.22,0.030917,0.17287
3.7589,302.01,169.76,45.536,170.18,45.758,15.158,3.4919,15.555,12.973,11.896,4.4995,45,1.9303e-4,9.8053,0.072629,316.85,1.0885,-1.2149,10810,1124.7,5.2448,0.035918,1937.2,1578.8,2.5602,0.50217,30430756,758.3,158.18,0.59505,0.59506,0.3551,0.087173,0.15278,0.020487,0.052406,1.2403e-4,0,0.0010703,0.43238,0.43131,5.9196e-5,140,153.94,85.299,8.9085,NaN,13.037,977.83,339.2,0.031477,0.17327
3.7903,307.37,171.19,44.855,171.61,45.023,15.527,3.5669,15.931,12.938,12.027,3.8852,45,1.9773e-4,9.8053,0.079493,318.78,-0.56666,-1.6211,10797,1111.9,5.2401,0.035909,1872.5,1578.2,2.1021,0.50646,30675789,752.59,161.01,0.59589,0.5959,0.35494,0.087607,0.15335,0.023817,0.04964,-3.382e-4,0,0.0010329,0.43257,0.43154,-1.5773e-5,140,153.94,85.331,9.4482,NaN,13.002,977.2,339.18,0.032078,0.17366
3.8224,312.89,172.63,44.127,173.06,44.284,15.907,3.6438,16.319,12.902,12.148,3.7257,45,2.0257e-4,9.8052,0.10423,320.68,-0.5256,-1.1743,10784,1098.9,5.2353,0.0359,2039.2,1577.7,3.2964,0.51075,3.092e7,746.76,163.88,0.59674,0.59676,0.35478,0.088046,0.15391,0.026974,0.088668,4.796e-4,0,9.9542e-4,0.43276,0.43176,-1.3345e-5,140,153.94,85.35,10.001,NaN,12.966,976.55,339.16,0.032745,0.17405
3.8552,318.57,174.07,43.366,174.5,43.531,16.299,3.7232,16.718,12.868,12.272,3.7827,45,2.0756e-4,9.8052,0.10509,322.55,0.21505,-1.0867,10771,1085.6,5.2305,0.03589,2073.9,1577.1,3.5487,0.51505,31163942,740.84,166.77,0.5976,0.59762,0.35462,0.088493,0.15449,0.026453,0.093802,3.4697e-4,0,9.6727e-4,0.43295,0.43198,2.1972e-6,140,153.94,85.34,10.43,NaN,12.929,975.89,339.13,0.033152,0.17443
3.8883,324.36,175.51,42.595,175.94,42.772,16.699,3.8047,17.127,12.835,12.399,3.8868,45,2.1266e-4,9.8052,0.096875,324.39,0.9394,-1.3662,10757,1072.1,5.2255,0.035881,1985.8,1576.6,2.9233,0.51934,31407181,734.85,169.69,0.59846,0.59848,0.35446,0.088946,0.15506,0.026243,0.076976,7.1413e-5,0,9.4487e-4,0.43314,0.43219,4.1241e-5,140,153.94,85.299,10.632,NaN,12.892,975.21,339.11,0.033394,0.17481
3.9217,330.24,176.92,41.795,177.37,42.014,17.107,3.8882,17.543,12.805,12.534,4.2881,45,2.1786e-4,9.8052,0.066494,326.18,0.33546,-2.0273,10744,1058.5,5.2205,0.035871,1819.7,1576,1.7411,0.52358,31646588,728.84,172.6,0.59933,0.59934,0.3543,0.089399,0.15564,0.021014,0.036127,5.884e-5,0,9.2916e-4,0.43333,0.4324,5.1749e-6,140,153.94,85.235,10.63,NaN,12.853,974.52,339.09,0.033425,0.17518
3.9551,336.18,178.32,40.987,178.77,41.263,17.52,3.9733,17.965,12.778,12.686,4.7591,45,2.2311e-4,9.8052,0.07923,327.91,-1.1904,-1.4087,10730,1044.8,5.2155,0.035862,1986.6,1575.4,2.9371,0.52774,31880768,722.86,175.48,0.60019,0.6002,0.35414,0.08985,0.15621,0.021464,0.063162,-2.3413e-5,0,9.2422e-4,0.43352,0.43259,-6.4155e-5,140,153.94,85.168,10.536,NaN,12.815,973.82,339.06,0.033091,0.17556
3.9882,342.1,179.67,40.204,180.13,40.526,17.934,4.0588,18.387,12.753,12.85,5.0933,45,2.2838e-4,9.8051,0.12099,329.55,-0.52374,-0.71496,10716,1031.2,5.2104,0.035852,2078.4,1574.8,3.5968,0.53177,32106893,716.96,178.3,0.60103,0.60106,0.35398,0.090293,0.15676,0.030415,0.10938,4.9299e-4,0,9.2653e-4,0.4337,0.43278,-1.2232e-5,140,153.94,85.125,10.352,NaN,12.776,973.13,339.04,0.032525,0.17596
4.0207,347.97,180.98,39.595,181.44,39.915,18.346,4.1441,18.808,12.729,13.017,5.0425,45,2.3363e-4,9.8051,0.11068,331.12,0.78361,-0.76969,10703,1017.7,5.2055,0.035843,2009.1,1574.2,3.1059,0.53567,32325219,712.46,181.04,0.60186,0.60188,0.35383,0.090728,0.1573,0.02946,0.091332,-3.6775e-5,0,9.3024e-4,0.43388,0.43295,2.6988e-5,140,153.94,85.127,10.081,NaN,12.738,972.44,339.02,0.031939,0.17634
4.0527,353.77,182.24,39.292,182.71,39.569,18.755,4.2287,19.226,12.706,13.173,4.6729,45,2.3884e-4,9.8051,0.064552,332.62,1.1008,-1.4412,10690,1004.8,5.2007,0.035834,1859,1573.7,2.0382,0.53946,32536225,710.92,183.72,0.60267,0.60267,0.35368,0.091154,0.15783,0.019664,0.040047,1.8241e-4,0,9.2744e-4,0.43406,0.43313,5.252e-5,140,153.94,85.167,9.7599,NaN,12.7,971.76,339,0.031602,0.17724
4.0843,359.55,183.48,39.019,183.96,39.232,19.165,4.313,19.644,12.683,13.311,4.0825,45,2.4407e-4,9.8051,0.050713,334.07,-0.93422,-1.6097,10678,992.48,5.1961,0.035825,1971.1,1573.2,2.8427,0.54317,32742928,709.51,186.37,0.60347,0.60347,0.35353,0.091578,0.15835,0.013944,0.039305,1.848e-4,0,9.2516e-4,0.43423,0.43331,-3.7318e-5,140,153.94,85.22,9.4209,NaN,12.663,971.08,338.97,0.031262,0.17949
4.1156,365.3,184.7,38.738,185.18,38.903,19.575,4.3967,20.062,12.659,13.43,3.5876,45,2.4928e-4,9.8051,0.089021,335.48,-1.0271,-0.5773,10666,980.34,5.1916,0.035816,2059.3,1572.6,3.4761,0.54682,32945777,708.12,189.01,0.60426,0.60428,0.35339,0.092,0.15887,0.022757,0.0794,-2.766e-4,0,9.2493e-4,0.43441,0.43348,-4.4516e-5,140,153.94,85.265,9.1878,NaN,12.626,970.41,338.95,0.030868,0.18012
4.1464,371.02,185.89,38.452,186.38,38.582,19.982,4.4794,20.478,12.635,13.532,3.1689,45,2.5447e-4,9.8051,0.11503,336.85,0.064064,-0.3157,10654,968.35,5.1872,0.035808,1943.4,1572.1,2.6523,0.55041,33144472,706.74,191.62,0.60505,0.60507,0.35325,0.09242,0.15938,0.032472,0.086545,-9.6444e-5,0,9.1942e-4,0.43458,0.43366,1.7095e-7,140,153.94,85.285,9.1888,NaN,12.588,969.74,338.93,0.030663,0.18053
4.1771,376.74,187.07,38.128,187.56,38.265,20.391,4.5617,20.895,12.61,13.628,3.232,45,2.5967e-4,9.805,0.088573,338.16,1.0612,-0.49256,10642,956.48,5.1827,0.0358,1872.1,1571.6,2.1461,0.55393,33338627,705.37,194.18,0.60583,0.60584,0.3531,0.092836,0.15989,0.026707,0.05757,-1.8781e-4,0,9.1751e-4,0.43475,0.43383,4.632e-5,140,153.94,85.274,9.4165,NaN,12.551,969.06,338.9,0.030353,0.18094
4.2074,382.44,188.22,37.786,188.72,37.954,20.798,4.6433,21.31,12.585,13.73,3.5592,45,2.6486e-4,9.805,0.041104,339.44,1.2212,-1.1619,10630,944.71,5.1784,0.035791,1813.3,1571.1,1.7299,0.55737,33528586,704.01,196.72,0.6066,0.6066,0.35296,0.093249,0.16039,0.013126,0.022291,-1.1093e-4,0,9.1523e-4,0.43492,0.434,6.0587e-5,140,153.94,85.243,9.8064,NaN,12.514,968.4,338.88,0.030067,0.18133
4.2375,388.11,189.36,37.438,189.86,37.652,21.204,4.7247,21.724,12.561,13.845,4.0157,45,2.7003e-4,9.805,0.032548,340.67,-1.3993,-0.91048,10618,933.05,5.174,0.035783,2039.7,1570.6,3.3508,0.56076,33714545,702.67,199.23,0.60736,0.60737,0.35283,0.093659,0.16088,0.0084632,0.028003,-2.0722e-4,0,9.1308e-4,0.43508,0.43417,-7.8608e-5,140,153.94,85.207,10.258,NaN,12.477,967.73,338.86,0.029789,0.18172
4.2673,393.77,190.47,37.113,190.98,37.351,21.61,4.8062,22.138,12.539,13.969,4.2163,45,2.7521e-4,9.805,0.06461,341.86,-1.0593,-0.33516,10607,921.5,5.1697,0.035775,1936.2,1570.1,2.6149,0.5641,33897673,701.34,201.72,0.60812,0.60813,0.35269,0.094068,0.16137,0.018379,0.047936,3.9058e-4,0,9.1278e-4,0.43525,0.43434,-4.4518e-5,140,153.94,85.178,10.633,NaN,12.44,967.07,338.84,0.02946,0.18227
4.2968,399.4,191.56,36.809,192.08,37.046,22.015,4.8879,22.552,12.518,14.092,4.1843,45,2.8037e-4,9.805,0.074239,343.03,-0.27873,-0.30516,10595,910.06,5.1654,0.035767,1922.2,1569.6,2.5186,0.56738,34077474,700.02,204.2,0.60888,0.60889,0.35255,0.094476,0.16185,0.021399,0.053598,-3.5698e-4,0,9.0626e-4,0.43541,0.43451,-3.0472e-6,140,153.94,85.162,10.816,NaN,12.404,966.41,338.82,0.029343,0.18274
4.3261,405.03,192.64,36.508,193.16,36.739,22.422,4.9705,22.967,12.499,14.213,4.1111,45,2.8555e-4,9.805,0.063216,344.15,0.4353,-0.32301,10584,898.72,5.1612,0.035759,1888.8,1569.1,2.2836,0.57063,34254375,698.71,206.65,0.60963,0.60964,0.35242,0.094882,0.16233,0.018799,0.043407,3.5173e-5,0,9.0709e-4,0.43557,0.43467,7.3488e-6,140,153.94,85.154,10.757,NaN,12.367,965.75,338.79,0.028997,0.18315
4.3551,410.64,193.69,36.21,194.22,36.434,22.828,5.0532,23.381,12.482,14.33,4.0274,45,2.9071e-4,9.8049,0.037066,345.24,0.85796,-0.49182,10573,887.46,5.157,0.035751,1844.5,1568.6,1.9704,0.5738,34427231,697.42,209.06,0.61037,0.61038,0.35229,0.095284,0.1628,0.011502,0.02307,-1.9543e-4,0,9.0195e-4,0.43573,0.43483,2.8237e-5,140,153.94,85.148,10.497,NaN,12.331,965.09,338.77,0.028854,0.1837
4.3839,416.24,194.74,35.907,195.27,36.133,23.235,5.1365,23.796,12.466,14.446,4.0348,45,2.9589e-4,9.8049,0.016481,346.3,-0.13124,-1.1147,10562,876.3,5.1528,0.035743,1972.8,1568.1,2.8903,0.57693,34596984,696.13,211.46,0.61111,0.61111,0.35216,0.095685,0.16327,0.0045441,0.012659,2.5551e-4,0,9.0295e-4,0.43589,0.43499,-6.5366e-7,140,153.94,85.14,10.139,NaN,12.294,964.43,338.75,0.028524,0.18411
4.4125,421.81,195.76,35.693,196.3,35.929,23.64,5.2194,24.209,12.45,14.562,4.1128,45,3.0105e-4,9.8049,0.037618,347.32,-0.76026,-0.45422,10550,865.23,5.1486,0.035736,2012,1567.6,3.1742,0.57999,34762803,695.79,213.82,0.61184,0.61184,0.35203,0.096082,0.16373,0.010038,0.032162,-1.2724e-4,0,8.9675e-4,0.43605,0.43515,-2.1707e-5,140,153.94,85.132,9.8004,NaN,12.258,963.78,338.73,0.028431,0.1846
4.4409,427.39,196.77,35.549,197.32,35.798,24.047,5.3024,24.625,12.435,14.68,4.2217,45,3.0624e-4,9.8049,0.05703,348.3,-0.26046,-0.29852,10539,854.28,5.1445,0.035728,1935.8,1567.1,2.6334,0.58303,34926491,696.2,216.17,0.61257,0.61257,0.3519,0.096478,0.16419,0.016271,0.04265,-6.8561e-5,0,9.0005e-4,0.43621,0.43531,-2.5216e-6,140,153.94,85.131,9.5857,NaN,12.222,963.12,338.71,0.028046,0.18499
4.4689,432.92,197.77,35.41,198.32,35.666,24.452,5.3845,25.038,12.419,14.798,4.2646,45,3.114e-4,9.8049,0.062189,349.27,0.366,-0.29961,10529,843.47,5.1404,0.03572,1894.8,1566.7,2.344,0.586,35086784,696.62,218.49,0.61329,0.61329,0.35177,0.096872,0.16464,0.018431,0.04368,-3.74e-4,0,8.914e-4,0.43636,0.43547,4.9294e-6,140,153.94,85.138,9.5374,NaN,12.186,962.48,338.68,0.028045,0.18539
4.497,438.48,198.76,35.281,199.32,35.529,24.861,5.4668,25.455,12.402,14.915,4.1874,45,3.166e-4,9.8048,0.052169,350.2,0.9276,-0.40375,10518,832.74,5.1364,0.035713,1860.1,1566.2,2.0991,0.58896,35246030,697.03,220.82,0.61401,0.61401,0.35165,0.097267,0.16509,0.015984,0.03372,4.9923e-4,0,8.9806e-4,0.43651,0.43562,3.1349e-5,140,153.94,85.157,9.6343,NaN,12.15,961.82,338.66,0.02757,0.1858
4.5246,443.97,199.73,35.176,200.29,35.383,25.266,5.5479,25.867,12.385,15.025,3.8219,45,3.2175e-4,9.8048,0.023966,351.11,0.69555,-1.1014,10507,822.09,5.1324,0.035705,1828.6,1565.7,1.8776,0.59188,35402524,697.44,223.12,0.61472,0.61472,0.35152,0.097661,0.16554,0.0075729,0.014088,2.3824e-4,0,8.8562e-4,0.43667,0.43578,1.7455e-5,140,153.94,85.187,9.8116,NaN,12.114,961.18,338.64,0.027695,0.18621
4.5523,449.52,200.7,35.067,201.27,35.239,25.675,5.6297,26.285,12.367,15.126,3.4794,45,3.2697e-4,9.8048,0.031087,352,-0.90359,-0.80594,10497,811.51,5.1284,0.035698,2052.9,1565.3,3.4835,0.5948,35558941,697.85,225.44,0.61545,0.61545,0.35139,0.098059,0.16599,0.0080361,0.027852,-1.4294e-4,0,8.9737e-4,0.43682,0.43592,-2.9174e-5,140,153.94,85.218,10.01,NaN,12.078,960.53,338.62,0.027077,0.18661
4.5793,454.97,201.65,34.958,202.22,35.101,26.078,5.7101,26.696,12.351,15.216,3.1702,45,3.321e-4,9.8048,0.054757,352.87,-0.65347,-0.35782,10486,801.03,5.1244,0.03569,1919.1,1564.8,2.5311,0.59765,35711130,698.25,227.72,0.61616,0.61616,0.35127,0.098452,0.16643,0.015895,0.040325,1.4167e-4,0,8.771e-4,0.43697,0.4361,-1.5115e-5,140,153.94,85.241,10.183,NaN,12.043,959.89,338.6,0.027453,0.18722
4.6068,460.52,202.61,34.83,203.18,34.964,26.489,5.792,27.115,12.334,15.301,3.0627,45,3.3733e-4,9.8048,0.061022,353.69,-0.080273,-0.25082,10476,790.59,5.1204,0.035683,1853.9,1564.3,2.0685,0.60053,35864378,698.65,230.02,0.61688,0.61688,0.35114,0.098852,0.16688,0.018845,0.038763,-4.2929e-5,0,9.013e-4,0.43713,0.43623,-2.2594e-7,140,153.94,85.25,10.303,NaN,12.007,959.24,338.57,0.026473,0.18765
4.6333,465.89,203.53,34.684,204.11,34.834,26.887,5.8716,27.521,12.319,15.384,3.2286,45,3.424e-4,9.8048,0.044856,354.52,0.34546,-0.29897,10465,780.27,5.1165,0.035676,1817.1,1563.9,1.8088,0.60328,36010858,699.05,232.25,0.61758,0.61758,0.35102,0.099239,0.16731,0.014368,0.026376,-1.1665e-4,0,8.6248e-4,0.43728,0.43641,4.1468e-6,140,153.94,85.244,10.368,NaN,11.972,958.61,338.55,0.027425,0.18807
4.6607,471.49,204.48,34.527,205.06,34.7,27.302,5.9545,27.944,12.304,15.476,3.4641,45,3.4769e-4,9.8047,0.027252,355.29,0.48815,-0.50499,10455,769.96,5.1126,0.035669,1833.2,1563.4,1.927,0.60613,36162021,699.44,234.56,0.6183,0.6183,0.3509,0.099643,0.16776,0.0085921,0.016534,6.4294e-6,0,9.1952e-4,0.43743,0.43651,8.2034e-6,140,153.94,85.228,10.406,NaN,11.935,957.95,338.53,0.025495,0.18848
4.6862,476.71,205.35,34.383,205.94,34.575,27.69,6.0322,28.339,12.29,15.566,3.639,45,3.5263e-4,9.8047,0.018743,356.1,0.2873,-0.78044,10445,759.83,5.1088,0.035661,1986.9,1562.9,3.0285,0.60877,36302168,699.83,236.72,0.61898,0.61898,0.35078,0.10002,0.16818,0.0051303,0.015759,5.2201e-5,0,8.2806e-4,0.43757,0.43675,2.8172e-6,140,153.94,85.208,10.423,NaN,11.901,957.34,338.51,0.028078,0.18888
4.7143,482.49,206.32,34.218,206.91,34.439,28.12,6.1184,28.778,12.275,15.671,3.8875,45,3.581e-4,9.8047,0.021478,356.77,-0.55857,-0.58469,10435,749.57,5.1049,0.035654,1922.1,1562.5,2.5686,0.61167,36455217,700.22,239.1,0.61973,0.61973,0.35065,0.10044,0.16864,0.0062288,0.015638,4.2579e-4,0,9.779e-4,0.43773,0.43675,-1.055e-5,140,153.94,85.184,10.411,NaN,11.864,956.66,338.49,0.023563,0.18927
4.7378,487.36,207.12,34.077,207.72,34.328,28.483,6.1912,29.148,12.263,15.766,4.148,45,3.6273e-4,9.8047,0.037444,357.61,-0.54223,-0.21632,10425,739.69,5.1011,0.035647,1815.9,1562,1.8136,0.61409,36582614,700.62,241.09,0.62036,0.62037,0.35054,0.10079,0.16902,0.012028,0.022034,4.6529e-5,0,7.4809e-4,0.43786,0.43712,-9.8647e-6,140,153.94,85.168,10.386,NaN,11.832,956.09,338.47,0.030572,0.18966
4.7684,493.71,208.16,33.916,208.77,34.169,28.957,6.2864,29.632,12.248,15.894,4.1524,45,3.6877e-4,9.8047,0.037264,358.07,-0.13673,-0.10717,10415,729.33,5.0972,0.03564,1817.1,1561.6,1.8252,0.61722,36747617,700.98,243.69,0.62119,0.62119,0.3504,0.10126,0.16953,0.011962,0.021512,-2.4451e-4,0,0.0011943,0.43804,0.43684,-6.21e-7,140,153.94,85.157,10.355,NaN,11.791,955.35,338.44,0.018966,0.19004
4.7874,497.66,208.8,33.79,209.41,34.027,29.254,6.3458,29.934,12.239,15.972,4.0103,45,3.7254e-4,9.8047,0.026397,359.05,0.077394,-0.10514,10405,719.85,5.0935,0.035633,1826.5,1561.1,1.8955,0.61917,3.685e7,700.24,245.31,0.6217,0.6217,0.35032,0.10155,0.16984,0.0083958,0.015611,-2.4587e-4,0,6.1092e-4,0.43815,0.43754,1.9774e-7,140,153.94,85.156,10.332,NaN,11.765,954.88,338.43,0.028449,0.19053
4.8158,503.62,209.76,33.189,210.38,33.393,29.701,6.4355,30.39,12.226,16.082,3.6883,45,3.7824e-4,9.8046,0.0041966,359.65,0.25496,-0.085749,10396,710.91,5.0901,0.035627,1822.5,1560.7,1.8698,0.62207,37002443,696.35,247.75,0.62247,0.62247,0.35018,0.10198,0.17031,0.0013403,0.0024708,-4.2948e-4,0,7.8152e-4,0.43831,0.43753,2.1262e-6,140,153.94,85.16,10.282,NaN,11.726,954.2,338.41,0.028558,0.19091
4.8444,509.62,210.71,32.627,211.33,32.802,30.153,6.5261,30.851,12.212,16.183,3.3827,45,3.8399e-4,9.8046,0.018163,360.1,-0.093407,0.19347,10386,700.32,5.0861,0.03562,1906.2,1560.3,2.4712,0.62493,37153239,692.84,250.17,0.62324,0.62324,0.35005,0.10242,0.17077,0.0053563,0.01331,2.6324e-4,0,0.0010961,0.43847,0.43737,-2.8281e-7,140,153.94,85.165,10.218,NaN,11.687,953.53,338.38,0.020185,0.1913
